year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,2,A. Riberas,12:20:43.975,13:14:21.870,TRACK,53:37.895,1:37:17.908,1:38:23.175,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,,13:14:21.870,13:15:39.563,PIT,1:17.693,,,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,3,M. Farnbacher,13:15:39.563,14:17:04.508,TRACK,1:01:24.945,1:01:24.945,1:01:24.945,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,1,D. Werner,11:35:58.695,11:48:54.740,TRACK,12:56.045,12:56.045,12:56.045,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,,D. Werner,11:48:54.740,11:49:25.483,PIT,30.743,12:56.045,13:26.788,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,2,D. Werner,11:49:25.483,12:20:10.600,TRACK,30:45.117,43:41.162,44:11.905,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,,,12:20:10.600,12:21:10.353,PIT,59.753,,,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,3,B. Auberlen,12:21:10.353,13:17:45.926,TRACK,56:35.573,56:35.573,56:35.573,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,,,13:17:45.926,13:18:43.826,PIT,57.900,,,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,4,D. Werner,13:18:43.826,14:15:58.695,TRACK,57:14.869,1:40:56.031,1:41:26.774,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,26,BAR1 Motorsports | ORECA FLM09 PC,1,D. Yount,11:35:58.695,12:48:06.499,TRACK,1:12:07.804,1:12:07.804,1:12:07.804,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,26,BAR1 Motorsports | ORECA FLM09 PC,,,12:48:06.499,12:49:26.494,PIT,1:19.995,,,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,26,BAR1 Motorsports | ORECA FLM09 PC,2,J. Falb,12:49:26.494,13:48:54.602,TRACK,59:28.108,59:28.108,59:28.108,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,26,BAR1 Motorsports | ORECA FLM09 PC,,J. Falb,13:48:54.602,13:50:08.326,PIT,1:13.724,59:28.108,1:00:41.832,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,26,BAR1 Motorsports | ORECA FLM09 PC,3,J. Falb,13:50:08.326,14:15:58.695,TRACK,25:50.369,1:25:18.477,1:26:32.201,20_Drive Time.PDF,4,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,27,Dream Racing Motorsport | Lamborghini Huracan GT3 GTD,1,P. Ruberti,11:35:58.695,12:19:41.870,TRACK,43:43.175,43:43.175,43:43.175,20_Drive Time.PDF,4,1
