year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,37,12,86,GTD,,B. Leitch / A. Fjordbach / K. Li,MDK Motorsports,Porsche 911 GT3 R (992),206,6:02:10.610,13 Laps,36.105,,125,1:24.436,103.988,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,38,13,56,GTD,,T. Vilander / R. Lindh / H. Hedman,DragonSpeed,Ferrari 296 GT3,205,6:01:11.072,14 Laps,1,,172,1:25.194,103.063,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,39,14,43,GTD,,S. Hargrove / G. Chaves J. Andretti,Andretti Motorsports,Porsche 911 GT3 R (992),205,6:02:14.695,14 Laps,1:03.623,,173,1:25.643,102.523,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,40,11,4,,,N. Catsburg / T. Milner,Corvette Racing by Pratt Miller Motorsports,Chevrolet Corvette Z06 GT3.R,204,6:01:26.596,15 Laps,1,,5,1:24.594,103.794,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,41,15,80,GTD,,S. Andrews / R. Pinto de Andrade S. Yoluc,Lone Star Racing,Mercedes-AMG GT3,203,6:01:19.518,16 Laps,1,,203,1:24.489,103.923,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,42,16,66,GTD,,S. McAleer / T. Calderon / S. Monk,Gradient Racing,Acura NSX GT3,193,6:01:30.682,26 Laps,10,,156,1:24.413,104.016,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,43,9,2,LMP2,,N. Pino / B. Hanley / B. Keating,United Autosports USA,ORECA LMP2 07,188,6:02:12.292,31 Laps,5,,131,1:18.292,112.149,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,44,12,65,,,D. Mueller / J. Hand,Ford Multimatic Motorsports,Ford Mustang GT3,164,6:02:16.999,55 Laps,24,,129,1:24.674,103.696,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,45,17,55,GTD,,B. Barker / C. Lewis / G. Levorato,Proton Competition,Ford Mustang GT3,162,4:54:57.490,57 Laps,2,Not Running,126,1:24.942,103.369,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,46,18,83,GTD,,S. Bovy / M. Gatting / R. Frey,Iron Dames,Lamborghini Huracan GT3 EVO2,162,4:55:05.454,57 Laps,7.964,Not Running,4,1:24.702,103.661,03_Results_Race_Official.PDF,2
